indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2016-10,Terrestre,Resto del mundo,63.1
2016-10,Fluvial/Marítima,Bolivia,5852
2016-10,Fluvial/Marítima,Brasil,5296.1
2016-10,Fluvial/Marítima,Chile,36.1
2016-10,Fluvial/Marítima,Paraguay,10650.1
2016-10,Fluvial/Marítima,Uruguay,43765
2016-10,Fluvial/Marítima,EE.UU. y Canadá,268.8
2016-10,Fluvial/Marítima,Resto de América,383.1
2016-10,Fluvial/Marítima,Europa,282.2
2016-10,Fluvial/Marítima,Resto del mundo,21.6
2016-11,Aérea,Bolivia,2987.7
2016-11,Aérea,Brasil,61046.9
2016-11,Aérea,Chile,43471.3
2016-11,Aérea,Paraguay,4009.8
2016-11,Aérea,Uruguay,8080.8
2016-11,Aérea,EE.UU. y Canadá,58241.8
2016-11,Aérea,Resto de América,60413.2
2016-11,Aérea,Europa,46765
2016-11,Aérea,Resto del mundo,11226.3
2016-11,Terrestre,Bolivia,27246.7
2016-11,Terrestre,Brasil,50365
2016-11,Terrestre,Chile,148819.9
2016-11,Terrestre,Paraguay,72382.5
2016-11,Terrestre,Uruguay,54640.5
2016-11,Terrestre,EE.UU. y Canadá,63.1
2016-11,Terrestre,Resto de América,828.9
2016-11,Terrestre,Europa,117.6
2016-11,Terrestre,Resto del mundo,52.9
2016-11,Fluvial/Marítima,Bolivia,5699
2016-11,Fluvial/Marítima,Brasil,4991.4
2016-11,Fluvial/Marítima,Chile,780.9
2016-11,Fluvial/Marítima,Paraguay,9907.1
2016-11,Fluvial/Marítima,Uruguay,48930.9
2016-11,Fluvial/Marítima,EE.UU. y Canadá,110.1
2016-11,Fluvial/Marítima,Resto de América,155.9
2016-11,Fluvial/Marítima,Europa,115.7
2016-11,Fluvial/Marítima,Resto del mundo,8.8
2016-12,Aérea,Bolivia,2780.3
2016-12,Aérea,Brasil,64474.2
2016-12,Aérea,Chile,41964.1
2016-12,Aérea,Paraguay,3482.8
2016-12,Aérea,Uruguay,9686.9
2016-12,Aérea,EE.UU. y Canadá,57732.2
2016-12,Aérea,Resto de América,59198.3
2016-12,Aérea,Europa,33112.8
2016-12,Aérea,Resto del mundo,11370.4
2016-12,Terrestre,Bolivia,38890.1
2016-12,Terrestre,Brasil,69095.6
2016-12,Terrestre,Chile,190928.1
2016-12,Terrestre,Paraguay,86852.1
2016-12,Terrestre,Uruguay,75267.2
2016-12,Terrestre,EE.UU. y Canadá,234.5
2016-12,Terrestre,Resto de América,3079.1
2016-12,Terrestre,Europa,436.9
2016-12,Terrestre,Resto del mundo,196.5
2016-12,Fluvial/Marítima,Bolivia,8449
2016-12,Fluvial/Marítima,Brasil,15208.1
2016-12,Fluvial/Marítima,Chile,8777.9
2016-12,Fluvial/Marítima,Paraguay,14266.8
2016-12,Fluvial/Marítima,Uruguay,58994.3
2016-12,Fluvial/Marítima,EE.UU. y Canadá,560.2
2016-12,Fluvial/Marítima,Resto de América,1251.3
2016-12,Fluvial/Marítima,Europa,588.3
2016-12,Fluvial/Marítima,Resto del mundo,45
2017-01,Aérea,Bolivia,5532.6
2017-01,Aérea,Brasil,114893
2017-01,Aérea,Chile,44678.9
2017-01,Aérea,Paraguay,3225.5
2017-01,Aérea,Uruguay,19679.5
2017-01,Aérea,EE.UU. y Canadá,68435.3
2017-01,Aérea,Resto de América,84606.9
2017-01,Aérea,Europa,35255.6
2017-01,Aérea,Resto del mundo,16260.3
2017-01,Terrestre,Bolivia,56721.5
2017-01,Terrestre,Brasil,369322.7
2017-01,Terrestre,Chile,489167.4
2017-01,Terrestre,Paraguay,182468.4
2017-01,Terrestre,Uruguay,214687.6
2017-01,Terrestre,EE.UU. y Canadá,457.9
2017-01,Terrestre,Resto de América,6012.6
2017-01,Terrestre,Europa,853.1
2017-01,Terrestre,Resto del mundo,383.7
2017-01,Fluvial/Marítima,Bolivia,6877
2017-01,Fluvial/Marítima,Brasil,28730
2017-01,Fluvial/Marítima,Chile,11814.8
2017-01,Fluvial/Marítima,Paraguay,19337.9
2017-01,Fluvial/Marítima,Uruguay,123314.6
2017-01,Fluvial/Marítima,EE.UU. y Canadá,757.6
2017-01,Fluvial/Marítima,Resto de América,2166.3
2017-01,Fluvial/Marítima,Europa,1070.8
2017-01,Fluvial/Marítima,Resto del mundo,73.7
2017-02,Aérea,Bolivia,5224.4
2017-02,Aérea,Brasil,118396.2
2017-02,Aérea,Chile,46811.1
2017-02,Aérea,Paraguay,4145.9
2017-02,Aérea,Uruguay,13835.9
2017-02,Aérea,EE.UU. y Canadá,70442.8
2017-02,Aérea,Resto de América,101852.4
2017-02,Aérea,Europa,45694.7
2017-02,Aérea,Resto del mundo,17531.9
2017-02,Terrestre,Bolivia,50162.2
2017-02,Terrestre,Brasil,351459.9
2017-02,Terrestre,Chile,377833.9
2017-02,Terrestre,Paraguay,148219.1
2017-02,Terrestre,Uruguay,211305.2
2017-02,Terrestre,EE.UU. y Canadá,297.3
2017-02,Terrestre,Resto de América,3904
2017-02,Terrestre,Europa,553.9
2017-02,Terrestre,Resto del mundo,249.1
2017-02,Fluvial/Marítima,Bolivia,5829
2017-02,Fluvial/Marítima,Brasil,26731.3
2017-02,Fluvial/Marítima,Chile,10869.5
2017-02,Fluvial/Marítima,Paraguay,14312.8
2017-02,Fluvial/Marítima,Uruguay,103567.6
2017-02,Fluvial/Marítima,EE.UU. y Canadá,1432.9
2017-02,Fluvial/Marítima,Resto de América,5646.9
2017-02,Fluvial/Marítima,Europa,2017.4
2017-02,Fluvial/Marítima,Resto del mundo,335.8
2017-03,Aérea,Bolivia,4720.1
2017-03,Aérea,Brasil,111888.6
2017-03,Aérea,Chile,45398.5
2017-03,Aérea,Paraguay,3508.2
2017-03,Aérea,Uruguay,7209.5
2017-03,Aérea,EE.UU. y Canadá,78472.8
2017-03,Aérea,Resto de América,91701.1
2017-03,Aérea,Europa,43880.7
2017-03,Aérea,Resto del mundo,23206.5
2017-03,Terrestre,Bolivia,47707
2017-03,Terrestre,Brasil,148399.1
2017-03,Terrestre,Chile,211199.4
2017-03,Terrestre,Paraguay,91591.4
2017-03,Terrestre,Uruguay,95773.9
2017-03,Terrestre,EE.UU. y Canadá,259.1
2017-03,Terrestre,Resto de América,3402.6
2017-03,Terrestre,Europa,482.8
2017-03,Terrestre,Resto del mundo,217.1
2017-03,Fluvial/Marítima,Bolivia,8760
2017-03,Fluvial/Marítima,Brasil,11596.8
2017-03,Fluvial/Marítima,Chile,6140.9
2017-03,Fluvial/Marítima,Paraguay,11325.2
2017-03,Fluvial/Marítima,Uruguay,76573
2017-03,Fluvial/Marítima,EE.UU. y Canadá,110.6
2017-03,Fluvial/Marítima,Resto de América,425.3
2017-03,Fluvial/Marítima,Europa,153.3
2017-03,Fluvial/Marítima,Resto del mundo,28.7
2017-04,Aérea,Bolivia,3549
2017-04,Aérea,Brasil,86759
2017-04,Aérea,Chile,42813.4
2017-04,Aérea,Paraguay,3379.5
2017-04,Aérea,Uruguay,5502
2017-04,Aérea,EE.UU. y Canadá,68158.4
2017-04,Aérea,Resto de América,86538.6
2017-04,Aérea,Europa,42606.8
2017-04,Aérea,Resto del mundo,19848.7
2017-04,Terrestre,Bolivia,29628.8
2017-04,Terrestre,Brasil,80957.2
2017-04,Terrestre,Chile,158011
2017-04,Terrestre,Paraguay,114753.4
2017-04,Terrestre,Uruguay,76038.5
2017-04,Terrestre,EE.UU. y Canadá,150
2017-04,Terrestre,Resto de América,1969.2
2017-04,Terrestre,Europa,279.4
2017-04,Terrestre,Resto del mundo,125.7
2017-04,Fluvial/Marítima,Bolivia,9077
2017-04,Fluvial/Marítima,Brasil,5581.3
2017-04,Fluvial/Marítima,Chile,217.9
2017-04,Fluvial/Marítima,Paraguay,9655.7
2017-04,Fluvial/Marítima,Uruguay,49729
2017-04,Fluvial/Marítima,EE.UU. y Canadá,202.6
2017-04,Fluvial/Marítima,Resto de América,751.7
2017-04,Fluvial/Marítima,Europa,269.2
2017-04,Fluvial/Marítima,Resto del mundo,50.3
2017-05,Aérea,Bolivia,3596.8
2017-05,Aérea,Brasil,64683.4
2017-05,Aérea,Chile,44341.8
2017-05,Aérea,Paraguay,3757.5
2017-05,Aérea,Uruguay,5131.9
2017-05,Aérea,EE.UU. y Canadá,69937.7
2017-05,Aérea,Resto de América,96019.2
2017-05,Aérea,Europa,55182.2
2017-05,Aérea,Resto del mundo,28170.1
2017-05,Terrestre,Bolivia,27160.8
2017-05,Terrestre,Brasil,47077.8
2017-05,Terrestre,Chile,107287.1
2017-05,Terrestre,Paraguay,97363.4
2017-05,Terrestre,Uruguay,43956
2017-05,Terrestre,EE.UU. y Canadá,18.4
2017-05,Terrestre,Resto de América,241.8
2017-05,Terrestre,Europa,34.3
2017-05,Terrestre,Resto del mundo,15.4
2017-05,Fluvial/Marítima,Bolivia,8695
2017-05,Fluvial/Marítima,Brasil,4234
2017-05,Fluvial/Marítima,Chile,31.2
2017-05,Fluvial/Marítima,Paraguay,9960.8
2017-05,Fluvial/Marítima,Uruguay,38585.6
2017-05,Fluvial/Marítima,EE.UU. y Canadá,115.4
2017-05,Fluvial/Marítima,Resto de América,418.8
2017-05,Fluvial/Marítima,Europa,135.3
2017-05,Fluvial/Marítima,Resto del mundo,27.9
2017-06,Aérea,Bolivia,3079
2017-06,Aérea,Brasil,47711.4
2017-06,Aérea,Chile,36152.7
2017-06,Aérea,Paraguay,3618.1
2017-06,Aérea,Uruguay,4337.8
2017-06,Aérea,EE.UU. y Canadá,71781.8
2017-06,Aérea,Resto de América,78299.1
2017-06,Aérea,Europa,82112.7
2017-06,Aérea,Resto del mundo,17885.4
2017-06,Terrestre,Bolivia,26478.3
2017-06,Terrestre,Brasil,41833.8
2017-06,Terrestre,Chile,59314.5
2017-06,Terrestre,Paraguay,89691.6
2017-06,Terrestre,Uruguay,29844
2017-06,Terrestre,EE.UU. y Canadá,113.3
2017-06,Terrestre,Resto de América,1488.3
2017-06,Terrestre,Europa,211.2
2017-06,Terrestre,Resto del mundo,95
2017-06,Fluvial/Marítima,Bolivia,6983
2017-06,Fluvial/Marítima,Brasil,2947.7
2017-06,Fluvial/Marítima,Chile,16.6
2017-06,Fluvial/Marítima,Paraguay,12930.1
2017-06,Fluvial/Marítima,Uruguay,24578.1
2017-06,Fluvial/Marítima,EE.UU. y Canadá,251.3
2017-06,Fluvial/Marítima,Resto de América,928.8
2017-06,Fluvial/Marítima,Europa,247.5
2017-06,Fluvial/Marítima,Resto del mundo,59.9
2017-07,Aérea,Bolivia,4600.5
2017-07,Aérea,Brasil,64987.6
2017-07,Aérea,Chile,57621.5
2017-07,Aérea,Paraguay,5698.8
2017-07,Aérea,Uruguay,3350
2017-07,Aérea,EE.UU. y Canadá,77220.8
2017-07,Aérea,Resto de América,82890
2017-07,Aérea,Europa,85692.1
2017-07,Aérea,Resto del mundo,13829.7
2017-07,Terrestre,Bolivia,47436.4
2017-07,Terrestre,Brasil,113897.1
2017-07,Terrestre,Chile,127413.4
2017-07,Terrestre,Paraguay,159698.2
